Time [Gate*Points] - Number of Pulses received	Number ofpulses received - Number of Pulses received	
2	2023	
3	2098	
4	2037	
5	2013	
6	2067	
7	2030	
8	1977	
9	2059	
10	2033	
11	1964	
12	1998	
13	2062	
14	2042	
15	2025	
16	2048	
17	1949	
18	2071	
19	1986	
20	2103	
21	1990	
22	2013	
23	2048	
24	1947	
25	2048	
26	1997	
27	1997	
28	2030	
29	2027	
30	1980	
31	1924	
32	1951	
33	1992	
34	2069	
35	2019	
36	2048	
37	2012	
38	2101	
39	2034	
40	2069	
41	1963	
42	1993	
43	2052	
44	1993	
45	1994	
46	2034	
47	1974	
48	2082	
49	2029	
50	1985	
51	1944	
52	2032	
53	2047	
54	2007	
55	2051	
56	2048	
57	2083	
58	2030	
59	1950	
60	1958	
61	2060	
62	2059	
63	2028	
64	1996	
65	2039	
66	2007	
67	1945	
68	1952	
69	2054	
70	1976	
71	2021	
72	1984	
73	1979	
74	1953	
75	2013	
76	2008	
77	2039	
78	1972	
79	1948	
80	1952	
81	2032	
82	2098	
83	2003	
84	2061	
85	2113	
86	2031	
87	2017	
88	1998	
89	2055	
90	2009	
91	2027	
92	1986	
93	2020	
94	2022	
95	2051	
96	2018	
97	2057	
98	1989	
99	2057	
100	2054	
101	1991	
