Time [Gate*Points] - Number of Pulses received	Number ofpulses received - Number of Pulses received	
11	1851	
12	1837	
13	1851	
14	1832	
15	1948	
16	1826	
17	1876	
18	1929	
19	1842	
20	1899	
21	1782	
22	1878	
23	1822	
24	1893	
25	1875	
26	1862	
27	1929	
28	1860	
29	1754	
30	1813	
31	1890	
32	1822	
33	1843	
34	1778	
35	1887	
36	1921	
37	1850	
38	1865	
39	1839	
40	1952	
41	1812	
42	1902	
43	1929	
44	1827	
45	1824	
46	1878	
47	1881	
48	1929	
49	1872	
50	1926	
51	1754	
52	1850	
53	1861	
54	1848	
55	1860	
56	1857	
57	1849	
58	1841	
59	1911	
60	1879	
61	1860	
62	1873	
63	1876	
64	1843	
65	1900	
66	1840	
67	1883	
68	1858	
69	1863	
70	1902	
71	1828	
72	1864	
73	1865	
74	1883	
75	1858	
76	1931	
77	1838	
78	1785	
79	1851	
80	1923	
81	1837	
82	1851	
83	1810	
84	1973	
85	1869	
86	1942	
87	1797	
88	1869	
89	1868	
90	1904	
91	1838	
92	1862	
93	1928	
94	1928	
95	1895	
96	1838	
97	1881	
98	1785	
99	1833	
100	1877	
101	1825	
102	1912	
103	1859	
104	1799	
105	1858	
106	1880	
107	1862	
108	1888	
109	1871	
110	1840	
