Time [Gate*Points] - Number of Pulses received	Number ofpulses received - Number of Pulses received	
2	1770	
3	1710	
4	1797	
5	1899	
6	1782	
7	1785	
8	1828	
9	1778	
10	1807	
11	1791	
12	1771	
13	1791	
14	1715	
15	1754	
16	1837	
17	1724	
18	1759	
19	1739	
20	1798	
21	1833	
22	1861	
23	1797	
24	1791	
25	1760	
26	1775	
27	1760	
28	1677	
29	1891	
30	1764	
31	1753	
32	1789	
33	1727	
34	1808	
35	1718	
36	1803	
37	1782	
38	1734	
39	1743	
40	1750	
41	1834	
42	1761	
43	1823	
44	1867	
45	1719	
46	1813	
47	1754	
48	1780	
49	1765	
50	1795	
51	1775	
52	1753	
53	1717	
54	1793	
55	1827	
56	1879	
57	1749	
58	1829	
59	1812	
60	1758	
61	1750	
62	1725	
63	1902	
64	1757	
65	1779	
66	1803	
67	1821	
68	1752	
69	1840	
70	1843	
71	1761	
72	1752	
73	1779	
74	1820	
75	1838	
76	1779	
77	1870	
78	1850	
79	1781	
80	1779	
81	1848	
82	1771	
83	1782	
84	1743	
85	1737	
86	1793	
87	1807	
88	1769	
89	1750	
90	1820	
91	1749	
92	1838	
93	1801	
94	1802	
95	1773	
96	1817	
97	1865	
98	1805	
99	1829	
100	1837	
101	1808	
