Time [Gate*Points] - Number of Pulses received	Number ofpulses received - Number of Pulses received	
6	1875	
7	1784	
8	1814	
9	1832	
10	1812	
11	1878	
12	1746	
13	1742	
14	1712	
15	1883	
16	1746	
17	1840	
18	1814	
19	1757	
20	1869	
21	1811	
22	1842	
23	1781	
24	1829	
25	1740	
26	1804	
27	1809	
28	1829	
29	1742	
30	1857	
31	1877	
32	1744	
33	1907	
34	1818	
35	1853	
36	1749	
37	1806	
38	1826	
39	1841	
40	1826	
41	1807	
42	1862	
43	1871	
44	1754	
45	1802	
46	1749	
47	1858	
48	1719	
49	1769	
50	1928	
51	1764	
52	1822	
53	1828	
54	1825	
55	1929	
56	1853	
57	1769	
58	1866	
59	1847	
60	1876	
61	1792	
62	1753	
63	1806	
64	1800	
65	1789	
66	1780	
67	1798	
68	1807	
69	1846	
70	1695	
71	1789	
72	1784	
73	1799	
74	1831	
75	1809	
76	1773	
77	1834	
78	1893	
79	1782	
80	1764	
81	1765	
82	1747	
83	1818	
84	1813	
85	1800	
86	1885	
87	1814	
88	1816	
89	1766	
90	1796	
91	1769	
92	1831	
93	1796	
94	1835	
95	1879	
96	1796	
97	1833	
98	1899	
99	1835	
100	1894	
101	1778	
102	1839	
103	1779	
104	1902	
105	1837	
