Time [Gate*Points] - Number of Pulses received	Number ofpulses received - Number of Pulses received	
32	2073	
33	2089	
34	2140	
35	2028	
36	1978	
37	1970	
38	2094	
39	2077	
40	2009	
41	1983	
42	2037	
43	1920	
44	2070	
45	2045	
46	1956	
47	1968	
48	2053	
49	2009	
50	1999	
51	2059	
52	1962	
53	2050	
54	2116	
55	2051	
56	2004	
57	2003	
58	2026	
59	2115	
60	1982	
61	2053	
62	2019	
63	2111	
64	2028	
65	2012	
66	2089	
67	2020	
68	2015	
69	1980	
70	2106	
71	2043	
72	1979	
73	2090	
74	2026	
75	2023	
76	2100	
77	1954	
78	2007	
79	2086	
80	2033	
81	2107	
82	2058	
83	1945	
84	2034	
85	2064	
86	1981	
87	2005	
88	1990	
89	2050	
90	2053	
91	2093	
92	2034	
93	2049	
94	2031	
95	1958	
96	2095	
97	2005	
98	1985	
99	1969	
100	1951	
101	2028	
102	2022	
103	2016	
104	2041	
105	2006	
106	2049	
107	2018	
108	2010	
109	2008	
110	2016	
111	2004	
112	1999	
113	2061	
114	2010	
115	2014	
116	1960	
117	2032	
118	1932	
119	2025	
120	1995	
121	1979	
122	2073	
123	2113	
124	2056	
125	2047	
126	2087	
127	2038	
128	2005	
129	2028	
130	2017	
131	2030	
