Time [Gate*Points] - Number of Pulses received	Number ofpulses received - Number of Pulses received	
1	16858	
2	16989	
3	17057	
4	17004	
5	16854	
6	16777	
7	16899	
8	16786	
9	16863	
10	16576	
11	17037	
12	16883	
13	16761	
14	16679	
15	16675	
16	16940	
17	16909	
18	16817	
19	16723	
20	16899	
21	16755	
22	16651	
23	16588	
24	17118	
25	16850	
26	16950	
27	16652	
28	16907	
29	16822	
30	16893	
31	16873	
32	16854	
33	16985	
34	16797	
35	16941	
36	16753	
37	16787	
38	16926	
39	16546	
40	16707	
41	17037	
42	16784	
43	16697	
44	16866	
45	16827	
46	17033	
47	17145	
48	16940	
49	16967	
50	16855	
51	16920	
52	16924	
53	16962	
54	16918	
55	16833	
56	17077	
57	16757	
58	17148	
59	16672	
60	16915	
61	16942	
62	16843	
63	16937	
64	17149	
65	16946	
66	17006	
67	16879	
68	16849	
69	16825	
70	16856	
71	16888	
72	17099	
73	17087	
74	16950	
75	16713	
76	16811	
77	16923	
78	16667	
79	16732	
80	16897	
81	17095	
82	16853	
83	17020	
84	16930	
85	16709	
86	16780	
87	16894	
88	16669	
89	16814	
90	16691	
91	16880	
92	16907	
93	16817	
94	16753	
95	16789	
96	16869	
97	16835	
98	17123	
99	16777	
100	17072	
