Time [Gate*Points] - Number of Pulses received	Number ofpulses received - Number of Pulses received	
11	15411	
12	15185	
13	15225	
14	15304	
15	15200	
16	15090	
17	15202	
18	15444	
19	15301	
20	15425	
21	15313	
22	15379	
23	15546	
24	15416	
25	15388	
26	15574	
27	15371	
28	15308	
29	15214	
30	15391	
31	15361	
32	15532	
33	15400	
34	15110	
35	15316	
36	15376	
37	15469	
38	15445	
39	15372	
40	15282	
41	15203	
42	15318	
43	15509	
44	15346	
45	15281	
46	15336	
47	15449	
48	15550	
49	15476	
50	15391	
51	15307	
52	15426	
53	15558	
54	15394	
55	15282	
56	15383	
57	15298	
58	15413	
59	15373	
60	15703	
61	15450	
62	15249	
63	15397	
64	15179	
65	15266	
66	15200	
67	15436	
68	15342	
69	15302	
70	15495	
71	15416	
72	15379	
73	15199	
74	15357	
75	15196	
76	15408	
77	15643	
78	15465	
79	15406	
80	15455	
81	15407	
82	15490	
83	15409	
84	15149	
85	15306	
86	15239	
87	15156	
88	15412	
89	15240	
90	15641	
91	15084	
92	15387	
93	15120	
94	15422	
95	15223	
96	15465	
97	15399	
98	15382	
99	15431	
100	15277	
101	15501	
102	15349	
103	15340	
104	15387	
105	15437	
106	15436	
107	15315	
108	15557	
109	15345	
110	15227	
