Time [Gate*Points] - Number of Pulses received	Number ofpulses received - Number of Pulses received	
0	16391	
1	16427	
2	16447	
3	16375	
4	16252	
5	16507	
6	16409	
7	16467	
8	16427	
9	16282	
10	16464	
11	16379	
12	16544	
13	16257	
14	16232	
15	16395	
16	16232	
17	16587	
18	16222	
19	16598	
20	16330	
21	16393	
22	16612	
23	16337	
24	16261	
25	16600	
26	16259	
27	16384	
28	16494	
29	16418	
30	16854	
31	16362	
32	16312	
33	16533	
34	16405	
35	16403	
36	16507	
37	16609	
38	16490	
39	16433	
40	16539	
41	16443	
42	16552	
43	16599	
44	16441	
45	16279	
46	16228	
47	16430	
48	16338	
49	16688	
50	16380	
51	16334	
52	16527	
53	16566	
54	16689	
55	16642	
56	16464	
57	16552	
58	16665	
59	16309	
60	16174	
61	16391	
62	16328	
63	16639	
64	16441	
65	16667	
66	16494	
67	16416	
68	16723	
69	16830	
70	16669	
71	16312	
72	16470	
73	16726	
74	16530	
75	16284	
76	16440	
77	16385	
78	16406	
79	16508	
80	16402	
81	16490	
82	16574	
83	16375	
84	16426	
85	16539	
86	16492	
87	16574	
88	16439	
89	16300	
90	16830	
91	16418	
92	16423	
93	16406	
94	16315	
95	16514	
96	16432	
97	16403	
98	16406	
99	16540	
100	16603	
